key,ctrl meta,,shift,ctrl,alt,meta,shift ctrl,ctrl alt,shift meta,shift alt,shift ctrl alt,shift meta alt,meta alt
M,,,Graph.AlignNodes.Middle,TodoViewGroupByShowModules|ChangesView.GroupBy.Module|Vcs.ShowMessageHistory|UsageGrouping.Module|EditorMatchBrace,,MinimizeCurrentWindow,,Vcs.ToggleAmendCommitMode,ChangesView.Move|Vcs.MoveChangedLinesToChangelist,,,Console.TableResult.MaximizeEditingCell,ExtractMethod
N,,,,EditorDown|Vcs.CombinedDiff.CaretToNextBlock,,Generate|NewElement|FileChooser.NewFolder,,NewElementSamePlace,NewScratchFile,tasks.goto,,,Inline|Git.CreateNewBranch|Console.TableResult.SetNull|Git.New.Branch.In.Log
O,,,,UsageGrouping.FlattenModules|OverrideMethods|ChangesView.ShowCommitOptions|ExportToTextFile,,GotoClass,ForceOthersToFollowAction,OptimizeImports,GotoFile,SelectVirtualTemplateElement,,,GotoSymbol
P,,,,UsageGrouping.Directory|EditorUp|ChangesView.GroupBy.Directory|TodoViewGroupByShowPackages|Vcs.CombinedDiff.CaretToPrevBlock,,FileChooser.TogglePathBar|ParameterInfo,ExpressionTypeInfo,,,,,ReformatWithPrettierAction,IntroduceParameter
Q,,,,,,Exit,EditorContextInfo,ToggleRenderedDocPresentation,,WD.UploadCurrentRemoteFileAction
R,RerunTests,,Graph.AlignNodes.Right,UsageFiltering.ReadAccess|Run|Terminal.SearchInCommandHistory,,Refresh|Rerun|Replace,RunClass,ChooseRunConfiguration,ReplaceInPath,RerunTests,,ForceRefresh,Resume
S,,,,UsageGrouping.FileStructure,,SaveAll,,,org.intellij.plugins.markdown.ui.actions.styling.ToggleStrikethroughAction|Github.PullRequest.Changed.MarkViewed.Toggle
T,,,Graph.AlignNodes.Top,UsageGrouping.UsageType|ServiceView.GroupByContributor|Refactorings.QuickListPopupAction,,Terminal.NewTab|Vcs.UpdateProject,,,ServiceView.ShowServices|GotoTest,tasks.switch,,,SurroundWith
U,,,,,,org.intellij.plugins.markdown.ui.actions.styling.InsertImageAction|GotoSuperMethod,,,Markdown.Styling.CreateLink|ShelveChanges.UnshelveWithDialog|EditorToggleCase,,,ShowUmlDiagram,ChangesView.UnshelveSilently|ShowUmlDiagramPopup|Frontend.ChangesView.UnshelveSilently
V,,,Graph.DistributeNodes.Vertically,Vcs.QuickListPopupAction,,Terminal.Paste|$Paste,,,PasteMultiple,,,EditorPasteSimple,IntroduceVariable
W,,,,UsageFiltering.WriteAccess|Terminal.DeletePreviousWord,,CloseContent,,,,tasks.close,,DumpLookupElementWeights
X,,,,,,$Cut,,,Code.Review.Editor.New.Comment,context.clear,,PublishGroup.UploadTo,XPathView.Actions.Evaluate|XPathView.Actions.ShowPath|XPathView.Actions.FindByExpression
Y,,,,,,QuickImplementations,CWMHostShowPopupAction,,,,SingleUserFollowAction|CurrentLeadUnfollowAction,,Synchronize
Z,,,,,,$Undo,,,$Redo,,,,Vcs.RollbackChangedLines|ChangesView.Revert
0,,,,GotoBookmark0,,ActivateCommitToolWindow,ToggleBookmark0,ResetIdeScaleAction
1,,,,GotoBookmark1,,ActivateProjectToolWindow|DuplicatesForm.SendToLeft|FileChooser.GotoHome,ToggleBookmark1,,ActivateAIAssistantToolWindow,ActivateAIAssistantToolWindow,,com.intellij.searchEverywhereMl.ranking.core.actions.OpenFeaturesInScratchFileAction
2,,,,GotoBookmark2,,ActivateBookmarksToolWindow|FileChooser.GotoProject|DuplicatesForm.SendToRight,ToggleBookmark2
3,,,,GotoBookmark3,,ActivateFindToolWindow|FileChooser.GotoModule,ToggleBookmark3
4,,,,GotoBookmark4,,ActivateRunToolWindow,ToggleBookmark4
5,,,,GotoBookmark5,,ActivateDebugToolWindow,ToggleBookmark5
6,,,,GotoBookmark6,,ActivateProblemsViewToolWindow,ToggleBookmark6,,,EditorFocusGutter|EditorShowGutterIconTooltip
7,,,,GotoBookmark7,,ActivateStructureToolWindow,ToggleBookmark7,,,,,,ActivateNuGetToolWindow
8,,,,GotoBookmark8,,ActivateServicesToolWindow,ToggleBookmark8,,EditorToggleColumnMode,,,,ActivateUnitTestsToolWindow
9,,,,GotoBookmark9,,ActivateVersionControlToolWindow,ToggleBookmark9,,,,,DumpMLCompletionFeatures
F1,,QuickJavaDoc,ExternalJavaDoc,,SelectIn,ShowErrorDescription,,,ContextHelp
F2,,XDebugger.SetValue|ChangesView.Rename|Table-startEditing|Console.TableResult.GotoReferencedResult|Git.Reword.Commit|ShelvedChanges.Rename|Git.Rename.Local.Branch|Console.TableResult.EditValue|GotoNextError|Arrangement.Rule.Edit|Tree-startEditing,GotoPreviousError,,WebOpenInAction,Stop,,,StopBackgroundProcesses
F3,,ToggleBookmark,,,ToggleBookmarkWithMnemonic,ShowBookmarks,,,,,,,ShowTypeBookmarks
F4,,EditSource,EditSourceInNewWindow|XDebugger.JumpToTypeSource,,,,CloseActiveTab,,,,,,Images.EditExternally
F5,,Graph.RouteEdges|CopyElement,Graph.ApplyCurrentLayout,,,,,,,XDebugger.AttachToProcess
F6,,Move,ChangesView.Rename|Git.Reword.Commit|ShelvedChanges.Rename|Git.Rename.Local.Branch|RenameElement,,,ChangeSignature,,,ChangeTypeSignature,,,,SwitchCoverage
F7,,NextDiff|StepInto,PreviousDiff|SmartStepInto,,FindUsages,FindUsagesInFile,,,HighlightUsagesInFile,ForceStepInto,,ShowSettingsAndFindUsages,ShowUsages
F8,,StepOver,StepOut,,EvaluateExpression,ToggleLineBreakpoint,,,EditBreakpoint|ViewBreakpoints,ForceStepOver,,ToggleTemporaryLineBreakpoint,QuickEvaluateExpression
F9,,Resume,,,RunToCursor,CompileDirty,,,Compile,,,,ForceRunToCursor
F10,,SwitchHeaderSource,,,ShowExecutionPoint,UpdateRunningApplication,,,Console.Open
F11,,,,,RunJsbtTask
F12,,JumpToLastWindow,RestoreDefaultLayout,,ActivateTerminalToolWindow,FileStructurePopup,,,HideAllWindows,,,,ShowFilePath
SPACE,EmojiAndSymbols,SplitChooser.SplitCenter|QuickPreview|Console.TableResult.ColumnVisibility|CollapsiblePanel-toggle,Console.TableResult.SelectRow,ChangesView.SetDefault|CodeCompletion,QuickImplementations,Console.TableResult.SelectColumn,SmartTypeCompletion,ClassNameCompletion
DOWN,,EditorDown|Vcs.CombinedDiff.CaretToNextBlock|Terminal.SelectBlockBelow,EditorDownWithSelection,,MethodOverloadSwitchDown|EditorUnSelectWord|ShowSearchHistory|List-selectLastRow|Arrangement.Rule.Match.Condition.Move.Down,SearchEverywhere.NavigateToNextGroup|EditSource|Terminal.SelectPrompt|Terminal.LineDown|Table-selectLastRow,MethodDown|ShowContent,GotoNextElementUnderCaretUsage|ResizeToolWindowDown,MoveStatementDown|Table-selectLastRowExtendSelection,List-selectLastRowExtendSelection|MoveLineDown,VcsShowNextChangeMarker,,Console.TableResult.NextPage|NextOccurence
UP,GotoRelated,EditorUp|Vcs.CombinedDiff.CaretToPrevBlock|Terminal.SelectBlockAbove,EditorUpWithSelection,,EditorSelectWord|List-selectFirstRow|MethodOverloadSwitchUp|Arrangement.Rule.Match.Condition.Move.Up,ShowNavBar|SearchEverywhere.NavigateToPrevGroup|FileChooser.GoToParent|Terminal.LineUp|Table-selectFirstRow|Terminal.SelectLastBlock|Terminal.SelectBlockAbove,MethodUp,ResizeToolWindowUp|GotoPrevElementUnderCaretUsage,Table-selectFirstRowExtendSelection|MoveStatementUp,List-selectFirstRowExtendSelection|MoveLineUp,VcsShowPrevChangeMarker,,PreviousOccurence|Console.TableResult.PreviousPage
PAGE_DOWN,,SearchEverywhere.NavigateToNextGroup|EditorPageDown,EditorPageDownWithSelection|Terminal.PageDown,,,EditorMoveToPageBottom,,,EditorMoveToPageBottomWithSelection
RIGHT,Diff.ApplyLeftSide,EditorRight|Vcs.Log.GoToParent|Terminal.InsertInlineCompletion,EditorRightWithSelection,NextTab,EditorNextWord,EditorLineEnd,NextEditorTab|Diff.NextChange,EmmetNextEditPoint|ResizeToolWindowRight,EditorLineEndWithSelection,EditorNextWordWithSelection,,MoveElementRight,Forward
ENTER,,Git.Log.Branches.Change.Branch.Filter|DirDiffMenu.SynchronizeDiff|Console.Execute|Console.TableResult.GotoReferencedResult|SplitChooser.Split|NextTemplateVariable|EditorChooseLookupItem|Console.TableResult.EditValue|SearchEverywhere.SelectItem|EditorEnter,EditorStartNewLine|OpenInRightSplit|CollapseExpandableComponent|Console.TableResult.EditValueMaximized|ExpandExpandableComponent,Generate|NewElement,ShowIntentionActions|Console.TableResult.GotoReferencedResult|Console.TableResult.EditValue,ViewSource|EditorSplitLine|Console.Execute.Multiline|Docker.RemoteServers.StartComposeService|DirDiffMenu.SynchronizeDiff.All|SplitChooser.Duplicate|Terminal.SmartCommandExecution.Run,,,Terminal.SmartCommandExecution.Debug|Console.TableResult.ShowRecordView|EditorCompleteStatement,SplitChooser|Console.TableResult.EditValueMaximized,,Console.Transaction.Commit|Console.TableResult.SubmitAndCommit,QuickActionPopup|EditorStartNewLineBefore
BACK_QUOTE,,,,QuickChangeScheme,,NextWindow,,,PreviousWindow,,,PreviousProjectWindow,NextProjectWindow
TAB,,SearchEverywhere.NextTab|CodeFloatingToolbar.GotoNextMenu|NextParameter|ExpandLiveTemplateByTab|EditorChooseLookupItemReplace|NextTemplateVariable|InsertInlineCompletionAction|SearchEverywhere.CompleteCommand|Terminal.CommandCompletion|EditorIndentSelection|SplitChooser.NextWindow|EditorTab|BraceOrQuoteOut,PrevParameter|PreviousTemplateVariable|SplitChooser.PreviousWindow|EditorUnindentSelection|CodeFloatingToolbar.GotoPrevMenu|SearchEverywhere.PrevTab,Switcher,NextSplitter,,Diff.FocusOppositePane|Switcher,,,PrevSplitter
COMMA,,,,,,ShowSettings,EditorDecreaseFontSizeGlobal
CLOSE_BRACKET,CypressOpen,,,,NextInlineCompletionSuggestionAction,Forward,,,NextTab,,,EditorCodeBlockEndWithSelection,EditorCodeBlockEnd
LEFT,Diff.ApplyRightSide,EditorLeft|Vcs.Log.GoToChild,EditorLeftWithSelection,PreviousTab,EditorPreviousWord,EditorLineStart,Diff.PrevChange|PreviousEditorTab,EmmetPreviousEditPoint|ResizeToolWindowLeft,EditorLineStartWithSelection,EditorPreviousWordWithSelection,,MoveElementLeft,Back
BACK_SPACE,,EditorBackSpace|$Delete,EditorBackSpace|UsageView.Include,,EditorDeleteToWordStart,EditorDeleteLine|$Delete,,,JumpToLastChange,$Redo,,Console.TableResult.ColumnSortReset
HOME,,EditorLineStart,EditorLineStartWithSelection,,ShowNavBar,Table-selectFirstRow|EditorTextStart,,,Table-selectFirstRowExtendSelection|EditorTextStartWithSelection
EQUALS,ZoomCurrentWindow,Graph.ZoomIn,,,,ExpandRegion|ExpandAll|ExpandExpandableComponent,,ZoomInIdeAction,ExpandAllRegions,,,,ExpandRegionRecursively
END,,EditorLineEnd,EditorLineEndWithSelection,,,EditorTextEnd|Table-selectLastRow,,,EditorTextEndWithSelection|Table-selectLastRowExtendSelection
PAGE_UP,,SearchEverywhere.NavigateToPrevGroup|EditorPageUp,Terminal.PageUp|EditorPageUpWithSelection,,,EditorMoveToPageTop,,,EditorMoveToPageTopWithSelection
DELETE,,$Delete|EditorDelete|DatabaseView.DropAction,$Cut,,EditorDeleteToWordEnd,SafeDelete,,,Unwrap,Console.TableResult.DeleteColumns
SEMICOLON,,,,,,ShowProjectStructureSettings,,,,,,,EmojiPicker.Open
MULTIPLY,,FullyExpandTreeNode,,,,ExpandToLevel2|ExpandToLevel2|ExpandToLevel1|ExpandToLevel1|ExpandToLevel4|ExpandToLevel4|ExpandToLevel3|ExpandToLevel3|ExpandToLevel5|ExpandToLevel5,,,,,,,ExpandAllToLevel5|ExpandAllToLevel5|ExpandAllToLevel4|ExpandAllToLevel4|ExpandAllToLevel3|ExpandAllToLevel3|ExpandAllToLevel2|ExpandAllToLevel2|ExpandAllToLevel1|ExpandAllToLevel1
OPEN_BRACKET,,,,,PrevInlineCompletionSuggestionAction,Back,,,PreviousTab,,,EditorCodeBlockStartWithSelection,EditorCodeBlockStart
SLASH,,,,,HippieCompletion,FileChooser.GoToRoot|Graph.ActualSize|Images.Editor.ActualSize|CommentByLineComment,CommentByBlockComment,,CommentByBlockComment,HippieBackwardCompletion,,,CommentByBlockComment
PERIOD,,,,EditorChooseLookupItemDot,,CollapseSelection,EditorIncreaseFontSizeGlobal,,CollapseBlock,,,,GotoCustomRegion
DIVIDE,,,,,,Graph.ActualSize|Images.Editor.ActualSize|CommentByLineComment,CommentByBlockComment,,CommentByBlockComment|CommentByBlockComment,,,,CommentByBlockComment
MINUS,,Graph.ZoomOut,,,,CollapseExpandableComponent|CollapseRegion|CollapseAll,,ZoomOutIdeAction,CollapseAllRegions,,,,CollapseRegionRecursively
BACK_SLASH,ToggleHintsAction,,,,,,,,ToggleHintsAction,CallInlineCompletionAction
QUOTE,,,,,,Images.Editor.ToggleGrid,,,MaximizeToolWindow
ADD,,ExpandTreeNode|Graph.ZoomIn,,,,ExpandRegion|ExpandAll|ExpandExpandableComponent,,,ExpandAllRegions,,,,ExpandRegionRecursively
ESCAPE,,CloseGotItTooltip|FocusEditor|EscUnfollowUserAction|EditorEscape|CloseDiffEditor,HideActiveWindow,,,Vcs.CombinedDiff.ToggleCollapseBlock
SUBTRACT,,Graph.ZoomOut|CollapseTreeNode,,,,CollapseExpandableComponent|CollapseRegion|CollapseAll,,,CollapseAllRegions,,,,CollapseRegionRecursively
INSERT,,EditorToggleInsertState|DomCollectionControl.Add|XDebugger.NewWatch,Terminal.Paste|$Paste,,FileChooser.NewFolder,Terminal.CopySelectedText|$Copy,,,PasteMultiple
